collected_funds,campaign_quality,goal,images,video,comments_count,updates_count,creators,business_venture,social,pitch_size,filler_words,duration,reach30in2,posemo,negemo,time
1784,3,1750,0,0,16,0,2,0,0,381,0,3.25809653802148,FALSE,3.15,0.52,1284
16700,9,20000,4,1,5,11,4,0,0,1168,0,4.11087386417331,FALSE,1.71,1.2,1329
1840,9,15000,10,1,6,13,3,1,0,214,0,3.52636052461616,FALSE,2.34,0.47,1042
875,1,2250,0,0,2,0,1,0,1,339,0,3.98898404656427,FALSE,5.9,0.59,919
970,9,3300,10,1,2,0,1,1,0,277,0,3.09104245335832,FALSE,5.78,0.72,1361
3705,9,10000,12,1,38,11,3,1,0,917,0,4.21950770517611,FALSE,6.54,0.33,1149
4145,9,5000,14,1,7,12,3,1,0,548,0,3.80666248977032,FALSE,5.11,4.01,1285
5018,1,1000,1,0,36,1,1,0,1,157,0,3.63758615972639,TRUE,4.46,1.91,966
12481,3,5000,6,0,87,18,1,0,1,241,0,4.0943445622221,FALSE,2.07,2.07,904
1150,3,1000,0,0,6,0,1,0,1,455,0,3.55534806148941,FALSE,3.96,1.76,1264
3290,9,1600,6,1,29,6,4,1,0,760,0,3.78418963391826,FALSE,4.08,0,814
540,6,6000,0,1,9,0,1,1,0,222,0,3.25809653802148,FALSE,1.8,0.45,923
1115,6,5000,7,0,6,0,4,0,1,492,0,3.87120101090789,FALSE,5.89,0.2,1047
2665,3,1600,0,0,15,0,1,1,0,322,0,3.80666248977032,TRUE,6.52,0.62,1327
796,3,6500,0,0,1,0,1,0,1,370,0,4.0943445622221,FALSE,5.95,0.27,1342
1500,7,1500,1,1,9,0,1,1,0,216,0,3.76120011569356,FALSE,3.24,1.85,1266
3970,9,5300,16,1,18,19,1,0,0,480,0,3.29583686600433,FALSE,5.21,0.21,1069
5820,6,3700,6,0,22,4,1,1,0,679,0,2.39789527279837,TRUE,5.3,0.15,1089
1300,4,1300,3,0,7,1,1,0,1,584,0,2.19722457733622,FALSE,4.97,1.71,1284
5636,6,10000,7,0,53,5,5,1,0,694,0.14,4.24849524204936,FALSE,7.35,0.86,634
1864,9,6036,4,1,2,5,1,0,0,800,0,4.14313472639153,FALSE,5,0,1066
3285,9,11000,9,1,20,7,4,0,0,584,0,3.98898404656427,FALSE,3.6,1.71,1225
800,0,6000,0,0,7,0,2,0,1,343,0,3.89182029811063,FALSE,4.08,0.58,995
2000,6,2000,7,1,3,3,2,0,1,326,0,3.43398720448515,TRUE,3.68,1.84,1362
5121,9,7500,3,1,4,0,1,1,0,199,0,4.57471097850338,FALSE,4.52,0.5,1084
1570,3,15000,1,0,3,0,2,1,0,446,0,3.85014760171006,FALSE,3.59,2.47,1237
835,9,2500,12,1,20,26,2,1,0,413,0,4.07753744390572,TRUE,4.6,2.18,631
1520,9,1500,6,1,4,4,2,0,1,306,0,3.04452243772342,FALSE,3.27,0,1034
2315,2,2000,2,0,18,0,3,0,1,335,0,3.40119738166216,FALSE,5.37,0,822
1015,6,3000,12,0,11,5,1,1,0,467,0,4.63472898822964,FALSE,8.14,0.43,714
2500,3,2500,0,0,21,0,1,1,0,455,0,3.43398720448515,FALSE,4.4,0.88,1042
526,7,5000,5,1,1,0,1,1,0,323,0,3.40119738166216,FALSE,4.95,0.31,998
600,0,2000,0,0,3,1,1,1,0,250,0,3.40119738166216,FALSE,3.6,1.6,1123
2338,9,20000,28,1,54,27,4,1,0,506,0,3.85014760171006,FALSE,5.93,0.2,754
2190,0,2000,0,0,21,0,1,0,1,277,0,3.80666248977032,FALSE,2.53,0.72,1117
3445,9,5500,25,1,36,7,1,1,0,221,0,4.55387689160054,FALSE,3.62,4.52,1091
530,6,7000,21,0,13,0,6,0,0,478,0,3.80666248977032,FALSE,4.6,0.21,1230
1230,3,1000,0,0,6,0,2,1,0,305,0,2.07944154167984,TRUE,2.95,1.31,374
985,3,1500,0,0,1,1,1,0,1,521,0,4.07753744390572,FALSE,4.03,0.19,1359
765,6,5500,12,0,4,6,1,1,0,820,0,3.85014760171006,FALSE,3.78,0.12,1313
3535,9,3500,7,1,11,0,1,0,1,197,0,1.94591014905531,FALSE,7.61,0.51,1179
1595,3,4500,0,0,8,0,1,1,0,245,0,3.13549421592915,FALSE,4.08,2.86,371
1525,3,5600,0,0,35,0,1,1,0,301,0,4.58496747867057,FALSE,3.65,0,662
1875,6,1500,8,0,24,0,4,1,0,297,0,3.61091791264422,FALSE,7.07,0,1057
2870,3,4200,0,0,21,0,3,1,0,395,0,2.70805020110221,FALSE,6.58,1.52,1161
1149,3,2000,1,0,9,5,1,0,1,237,0,3.68887945411394,TRUE,3.38,2.95,874
3420,9,5000,22,1,126,21,5,0,1,1234,0,4.33073334028633,FALSE,7.37,0.49,621
7000,3,10000,0,0,31,8,1,1,0,621,0,4.0943445622221,FALSE,5.8,2.42,1016
550,8,5400,11,1,8,4,2,0,0,646,0,3.85014760171006,FALSE,3.72,0.31,1103
12411,9,16500,13,1,68,26,4,1,0,2555,0,2.99573227355399,FALSE,5.87,1.76,863
3745,6,5000,5,0,28,6,2,1,0,326,0,4.07753744390572,FALSE,2.15,0.61,960
4196,5,3900,2,0,38,2,2,0,1,479,0,2.99573227355399,FALSE,7.31,0.63,1059
3325,9,10000,10,1,15,8,3,1,0,516,0,4.06044301054642,FALSE,4.46,0.19,702
1215,0,10000,0,0,13,0,2,0,0,731,0,2.99573227355399,FALSE,2.74,0,746
1420,6,5000,3,0,0,1,1,1,0,294,0,4.0943445622221,FALSE,6.8,0,424
3230,9,9000,39,1,56,27,5,1,0,700,0,4.11087386417331,TRUE,2.57,1.29,1107
2000,3,2000,0,0,4,1,2,1,0,745,0,3.29583686600433,FALSE,3.89,1.21,1363
2625,1,1500,0,0,0,1,2,0,0,349,0,4.0943445622221,TRUE,1.15,0.86,1311
807,3,5000,4,0,8,5,1,0,1,254,0,4.55387689160054,FALSE,4.33,2.36,1177
726,6,4850,5,0,5,1,2,1,0,248,0,3.97029191355212,FALSE,7.66,0.81,1055
15095,9,15000,10,1,22,13,3,1,0,940,0,4.77912349311153,FALSE,4.79,0.74,867
3675,6,3500,6,0,38,5,1,1,0,407,0,3.40119738166216,TRUE,1.72,1.72,1136
10000,9,10000,19,1,19,4,3,1,0,702,0,3.40119738166216,FALSE,5.41,0.57,1324
1710,6,1700,3,0,4,0,2,1,0,371,0,2.30258509299405,TRUE,3.23,0,1165
4275,9,4000,6,1,30,13,1,1,0,261,0,4.78749174278205,FALSE,1.15,2.68,874
755,3,1000,4,0,7,0,1,0,1,233,0,2.07944154167984,TRUE,6.87,1.29,1219
541,9,10000,56,1,18,0,2,0,1,953,0,3.73766961828337,FALSE,4.3,0.63,1205
1700,3,3000,8,0,19,0,3,1,0,338,0,3.97029191355212,FALSE,4.73,0.3,713
2250,7,5000,1,1,19,0,7,1,0,653,0,3.36729582998647,FALSE,8.27,0.46,1190
3033,9,3000,13,1,22,11,8,0,1,631,0,4.0943445622221,TRUE,5.71,1.43,1108
2141,5,2000,1,1,4,1,1,0,1,327,0,3.49650756146648,FALSE,6.12,1.53,1287
3265,6,5000,6,0,1,2,1,0,1,745,0,3.46573590279973,FALSE,4.43,0.67,1355
1995,4,5000,1,0,11,3,2,1,0,623,0,3.09104245335832,FALSE,3.05,1.28,1007
1760,6,15000,10,0,15,10,2,1,0,1009,0,4.0943445622221,FALSE,4.36,0.3,1024
4000,7,20000,1,1,21,0,1,1,0,891,0,4.49980967033027,FALSE,4.38,0.22,1097
9000,6,2000,5,1,62,2,3,0,1,352,0,4.0943445622221,FALSE,4.55,3.12,1195
2350,8,5000,2,1,6,0,2,1,0,293,0,4.78749174278205,FALSE,5.12,0.34,347
1535,4,1500,1,0,17,0,1,1,0,435,0,3.40119738166216,FALSE,4.37,0.92,1033
3600,9,3500,23,1,31,40,3,1,0,724,0,3.40119738166216,FALSE,5.94,0.41,1343
1345,3,7500,3,0,6,1,1,0,1,1295,0.08,4.78749174278205,FALSE,2.01,1.7,1117
1090,6,1500,0,1,0,2,1,0,1,392,0,3.91202300542815,FALSE,3.06,0.77,1329
6075,5,6000,2,0,30,2,2,1,0,467,0,3.43398720448515,FALSE,3.43,1.28,932
1020,6,5000,3,0,8,2,1,0,1,632,0,4.26267987704132,FALSE,4.75,0.16,1187
12089,9,20000,17,1,52,11,8,1,0,961,0,3.13549421592915,FALSE,4.99,0.21,1240
1356,2,1500,0,0,5,0,1,1,0,684,0,3.66356164612965,TRUE,5.41,0.88,1313
1315,9,1000,3,1,24,13,2,0,0,1046,0,3.40119738166216,FALSE,3.92,0.67,1026
3592,9,3500,8,1,5,10,2,1,0,810,0,3.40119738166216,FALSE,3.09,2.72,1356
875,9,13000,30,1,4,4,2,1,0,736,0,4.77912349311153,FALSE,7.07,0.68,1293
1731,6,10000,16,0,16,17,15,1,0,850,0,4.07753744390572,FALSE,4.24,0.24,726
2390,9,6000,29,1,9,9,4,1,0,435,0,4.17438726989564,FALSE,5.52,0.46,879
13237,9,12500,4,1,64,7,2,1,0,705,0,3.71357206670431,FALSE,3.83,0.57,1190
860,4,1750,1,0,5,0,1,1,0,815,0,3.04452243772342,FALSE,4.29,0.12,1320
21837,3,12000,0,0,111,1,1,1,0,483,0,3.87120101090789,TRUE,2.9,1.66,440
1320,9,2500,13,1,21,11,1,1,0,377,0,3.40119738166216,FALSE,6.9,0.27,1259
580,9,3000,5,1,5,1,4,1,0,163,0,2.63905732961526,FALSE,0.61,1.23,1364
3683,6,2500,30,1,61,11,1,0,1,2462,0,3.80666248977032,FALSE,3.98,1.91,1118
1005,9,8300,13,1,10,11,1,1,0,306,0,3.91202300542815,FALSE,3.59,0,1251
8080,3,3000,0,0,24,0,1,1,0,375,0,4.0943445622221,FALSE,4.8,0.27,612
3625,7,23000,1,1,16,0,1,1,0,654,0,3.98898404656427,FALSE,6.57,0,1269
2481,9,2000,20,1,30,6,1,1,0,318,0,3.40119738166216,FALSE,4.4,0,1074
2605,9,15000,10,1,24,4,4,1,0,467,0,3.40119738166216,FALSE,4.93,0.64,1146
864,8,1000,4,1,1,0,1,1,0,1271,0,4.00733318523247,FALSE,3.93,0.79,763
10000,9,10000,10,1,80,12,11,1,0,322,0,4.55387689160054,FALSE,3.11,0,903
5363,9,18000,7,1,20,0,3,0,0,798,0,3.49650756146648,FALSE,3.51,0.5,1288
600,9,7000,12,1,0,10,1,1,0,867,0,4.00733318523247,FALSE,2.31,1.27,1081
1690,6,5000,3,0,21,10,2,1,0,259,0,4.0943445622221,FALSE,3.47,1.93,1246
1800,3,5000,0,0,8,0,1,0,1,380,0,3.43398720448515,TRUE,4.47,1.32,1067
1850,6,1800,0,1,11,0,3,1,0,223,0,2.99573227355399,TRUE,4.04,0.45,1192
800,3,1500,0,0,1,0,1,1,0,125,0,3.40119738166216,FALSE,4,0.8,1332
860,6,5000,0,1,12,3,1,1,0,541,0,4.11087386417331,FALSE,2.77,0.37,949
3400,4,3000,36,0,37,18,2,0,1,941,0,4.31748811353631,FALSE,4.57,2.76,1136
2240,6,10000,0,1,23,0,1,1,0,442,0,5.0998664278242,FALSE,3.85,0.45,930
2194,6,3000,0,1,1,1,1,1,0,340,0,3.95124371858143,FALSE,2.94,1.47,410
1090,9,15000,7,1,6,2,2,1,0,1037,0,4.46590811865458,FALSE,1.74,1.06,885
1325,6,5000,0,1,6,0,1,1,0,182,0,3.40119738166216,FALSE,4.4,0.55,1107
3310,3,5200,0,0,21,9,1,0,0,522,0,4.34380542185368,FALSE,4.98,0.38,774
675,7,20000,1,1,10,3,1,1,0,396,0,4.53259949315326,FALSE,1.77,0.51,1046
1268,0,2500,0,0,0,4,1,0,1,472,0,4.0943445622221,TRUE,3.6,1.69,1324
500,9,5000,6,1,10,3,2,1,0,354,0,4.24849524204936,FALSE,2.54,0.56,912
618,6,2500,4,0,22,4,2,1,0,793,0,3.40119738166216,FALSE,5.55,0.25,1052
11350,3,11250,0,0,4,0,1,1,0,136,0,4.12713438504509,FALSE,1.47,4.41,290
586,3,2200,0,0,4,0,3,0,1,763,0,3.52636052461616,FALSE,3.41,0.52,1034
1590,6,1500,4,0,19,0,1,1,0,501,0,4.18965474202643,FALSE,2.79,0.2,633
781,4,1500,1,0,8,3,3,1,0,289,0,4.06044301054642,FALSE,3.81,0.35,879
2090,6,1950,3,0,26,4,1,1,0,810,0,4.0943445622221,FALSE,2.72,0.62,622
1470,8,15000,4,1,2,2,1,0,1,620,0,4.0943445622221,FALSE,3.23,0.16,1326
1945,5,5125,0,1,15,0,1,0,1,1255,0,3.29583686600433,FALSE,2.63,0.8,1103
2205,6,3500,0,1,11,2,1,1,0,292,0,2.99573227355399,TRUE,9.25,0.68,1346
2890,9,7500,3,1,23,0,1,1,0,648,0,3.2188758248682,FALSE,5.25,1.39,1190
5125,9,5000,13,1,1,9,2,0,1,584,0,4.66343909411207,FALSE,2.23,2.4,1307
2450,6,5000,6,0,19,1,1,1,0,349,0,4.0943445622221,FALSE,1.72,1.15,1062
2300,6,2500,0,1,28,3,1,1,0,425,0,3.36729582998647,FALSE,3.06,0,1118
4000,5,4000,2,1,0,0,1,0,0,325,0,3.25809653802148,TRUE,4.31,0.62,1326
737,6,2116,0,1,11,3,1,0,1,566,0,4.00733318523247,FALSE,5.3,0.18,1167
1300,3,1300,0,0,6,0,2,1,0,320,0,3.3322045101752,FALSE,5.31,0,401
5530,9,4000,10,1,18,22,1,1,0,656,0,4.24849524204936,FALSE,5.49,1.68,1267
2557,9,5000,10,1,23,2,7,1,0,1065,0,3.61091791264422,FALSE,4.32,2.07,1189
688,3,1000,0,0,2,0,1,0,1,193,0,3.36729582998647,FALSE,3.11,0.52,1365
4575,9,6000,6,1,28,1,3,0,0,1033,0,4.21950770517611,FALSE,2.81,0,984
1550,5,5000,3,0,15,1,1,0,1,371,0,3.40119738166216,FALSE,5.12,0.27,1246
601,3,4000,0,0,7,0,1,1,0,518,0,3.46573590279973,FALSE,5.21,0.77,985
6127,9,6000,4,1,23,5,1,1,0,553,0,4.0943445622221,FALSE,4.88,1.81,424
5270,9,7500,9,1,27,7,4,1,0,1383,0,4.0943445622221,FALSE,4.56,0.58,1251
1860,6,5500,0,1,4,7,1,1,0,432,0,3.78418963391826,FALSE,5.32,0.69,1335
1595,3,7500,0,0,4,5,2,1,0,708,0,4.11087386417331,FALSE,2.26,2.12,715
560,6,6000,0,1,2,0,2,0,1,255,0,3.98898404656427,FALSE,3.14,0,1358
1150,2,2100,2,0,2,0,1,0,1,261,0,3.98898404656427,FALSE,3.83,0.38,1343
1075,3,10000,4,0,2,0,1,0,1,304,0,4.0943445622221,FALSE,5.59,2.63,1122
785,0,2000,0,0,2,0,1,0,1,148,0,4.11087386417331,FALSE,4.73,1.35,1292
625,9,15000,23,1,5,24,8,1,0,484,0,3.85014760171006,FALSE,4.55,1.24,1201
2105,8,1000,16,1,71,38,1,1,0,461,0,4.06044301054642,FALSE,4.56,0,878
505,6,20000,0,1,2,0,2,0,1,687,0,3.80666248977032,FALSE,3.64,6.99,1202
810,7,6500,1,1,4,3,1,1,0,656,0,2.99573227355399,FALSE,2.9,0,1227
510,9,5000,13,1,7,1,18,1,0,589,0,3.46573590279973,FALSE,5.77,0.51,427
2190,9,19400,3,1,9,6,3,0,0,421,0,3.40119738166216,FALSE,5.7,0.48,1140
4020,4,4000,1,0,20,0,1,1,0,519,0,3.52636052461616,FALSE,2.12,0.39,1208
1105,3,1500,0,0,10,0,2,1,0,202,0,4.04305126783455,FALSE,9.41,1.49,880
1001,9,2500,7,1,4,4,2,1,0,837,0,2.77258872223978,FALSE,5.73,0.48,1346
8120,8,7500,2,1,7,4,1,1,0,1017,0,4.18965474202643,FALSE,2.06,0.98,963
528,6,1000,30,0,22,12,3,0,0,1566,0,4.78749174278205,FALSE,2.55,0.7,1155
3081,6,17900,0,1,12,4,1,1,0,817,0,3.80666248977032,FALSE,2.94,0.24,1181
1900,5,5000,2,0,13,4,8,1,0,871,0,4.62497281328427,FALSE,4.71,0.69,841
955,6,4000,0,1,17,2,1,1,0,709,0,4.0943445622221,FALSE,2.68,0,768
7355,6,10000,0,1,31,0,1,1,0,486,0,3.78418963391826,FALSE,4.12,0.41,814
1710,9,2300,4,1,4,0,1,1,0,418,0,3.43398720448515,FALSE,3.35,2.15,1294
5250,9,5000,3,1,31,9,2,1,0,641,0,3.68887945411394,FALSE,7.02,0.62,1348
7041,9,7000,14,1,25,0,1,1,0,163,0,3.58351893845611,FALSE,5.52,0,846
2475,9,20000,7,1,15,3,4,0,1,268,0,3.66356164612965,FALSE,1.87,1.12,1184
1340,9,3500,4,1,13,34,1,1,0,2871,0,4.24849524204936,FALSE,4.46,0.42,879
3935,9,15000,6,1,5,8,1,1,0,1359,0,3.80666248977032,FALSE,4.64,0.74,1358
1605,6,2800,6,0,33,0,2,1,0,225,0,3.93182563272433,FALSE,4,2.67,578
1765,1,1500,0,0,20,0,1,0,1,361,0,4.20469261939097,FALSE,3.05,0.28,1013
735,8,15120,2,1,7,2,1,1,0,791,0,4.04305126783455,FALSE,3.67,1.64,1236
1597,6,1500,4,0,1,0,1,1,0,432,0,3.61091791264422,FALSE,3.01,2.78,447
670,3,5880,0,0,17,0,3,1,0,712,0,3.91202300542815,FALSE,7.44,0.56,966
950,5,15000,6,0,6,5,1,0,1,81,0,3.40119738166216,FALSE,2.47,1.23,1308
9050,6,8000,4,0,39,3,1,0,1,1298,0,3.40119738166216,FALSE,2.62,0.15,1019
8315,5,1000,2,1,28,5,1,0,1,376,0,3.95124371858143,TRUE,3.99,1.06,1271
500,2,5000,0,0,3,0,2,0,0,358,0,4.24849524204936,FALSE,8.38,0.56,627
1630,4,5000,1,0,19,3,1,1,0,895,0,3.71357206670431,FALSE,5.7,0.34,728
4570,7,3000,2,1,22,0,1,0,1,322,0,2.83321334405622,FALSE,1.55,0.31,1127
2001,3,2200,6,0,21,1,1,0,1,382,0,3.91202300542815,FALSE,3.93,0.26,988
4060,1,12000,1,0,12,0,1,1,0,189,0,3.46573590279973,FALSE,5.29,0,1190
5105,9,5000,14,1,29,6,1,0,1,667,0,3.40119738166216,FALSE,6,0.3,1245
1300,2,1000,0,0,6,0,1,0,1,333,0,3.09104245335832,TRUE,3.6,0,1011
3007,8,10000,7,1,39,3,5,1,0,365,0,4.21950770517611,TRUE,5.48,0,865
776,6,2500,5,0,0,0,1,1,0,411,0,4.04305126783455,FALSE,5.6,0.97,1328
801,3,1000,3,0,6,1,1,0,1,418,0,4.0943445622221,TRUE,2.87,0.96,1284
4025,8,15000,2,1,44,2,1,1,0,112,0,3.46573590279973,FALSE,7.14,0.89,798
1035,1,15000,0,0,4,1,1,0,1,118,0,4.63472898822964,FALSE,8.47,3.39,1175
1510,9,3500,8,1,18,6,2,1,0,447,0,3.78418963391826,FALSE,4.47,0.67,911
3221,9,9000,9,1,47,1,1,1,0,1174,0.09,2.99573227355399,FALSE,5.62,0.43,1016
1030,7,5000,1,1,8,0,4,1,0,595,0,4.0943445622221,FALSE,5.04,1.68,1085
8005,9,7000,4,1,63,11,1,1,0,112,0,3.40119738166216,FALSE,3.57,0,1184
2855,3,6000,0,0,22,2,1,0,1,561,0,3.87120101090789,FALSE,3.03,1.07,1224
2285,9,7000,12,1,12,3,1,1,0,948,0,3.58351893845611,TRUE,4.01,0.32,1186
15661,9,20000,8,1,62,8,1,0,0,574,0,4.0943445622221,TRUE,3.14,0.52,755
500,0,4900,0,0,0,0,1,0,1,332,0,4.12713438504509,FALSE,4.22,2.11,436
660,4,4400,1,0,11,1,1,0,1,313,0,4.78749174278205,FALSE,0.96,1.6,791
861,5,4250,2,0,5,0,2,1,0,331,0,4.33073334028633,FALSE,4.83,2.42,488
16244,3,15000,0,0,17,0,1,0,1,522,0,2.70805020110221,TRUE,2.49,1.34,1366
1387,8,2000,2,1,21,2,1,1,0,570,0,4.12713438504509,FALSE,5.26,0.35,905
13020,9,14500,5,1,33,8,3,1,0,1194,0,3.68887945411394,FALSE,4.36,0.67,1254
2820,3,2500,0,0,17,1,2,1,0,274,0,3.66356164612965,FALSE,5.47,1.46,924
1161,1,1500,1,0,7,0,1,1,0,240,0,3.04452243772342,FALSE,2.92,0,1329
2653,9,8000,8,1,19,21,6,1,0,1533,0.07,4.07753744390572,FALSE,4.89,0.39,627
15700,6,15700,0,1,32,0,2,1,0,591,0,3.80666248977032,FALSE,4.91,0.34,958
1205,6,1000,4,0,3,1,2,1,0,538,0,3.55534806148941,FALSE,4.28,0.93,1337
1500,3,1500,0,1,16,0,2,1,0,133,0,3.36729582998647,FALSE,2.26,0,1004
3450,6,3500,6,0,12,3,1,0,1,458,0,4.78749174278205,FALSE,3.71,1.09,1298
6330,7,15000,1,1,16,2,3,0,0,727,0,3.80666248977032,FALSE,6.33,0.14,1261
5001,4,5000,1,1,42,7,1,0,1,1123,0,4.0943445622221,FALSE,3.65,1.34,922
3200,3,3200,3,0,11,0,1,0,1,455,0,3.71357206670431,FALSE,3.08,0.66,1258
1795,8,2000,2,1,7,0,1,0,1,162,0,3.43398720448515,FALSE,9.88,0,1322
2183,9,10000,13,1,7,0,8,0,1,697,0,4.0943445622221,FALSE,2.15,1.29,1231
2500,6,1500,0,1,13,0,1,1,0,652,0,4.46590811865458,FALSE,3.99,1.69,703
1680,6,4000,5,0,0,0,1,1,0,1122,0,3.46573590279973,TRUE,4.1,0.36,1308
2967,7,3500,1,1,25,0,3,1,0,617,0,2.56494935746154,FALSE,4.7,1.46,1035
8020,3,5000,11,0,144,4,3,0,1,669,0,4.0943445622221,FALSE,7.62,1.05,1138
1780,8,5000,10,1,11,5,1,0,1,459,0,4.0943445622221,FALSE,2.4,0.44,761
1500,3,1500,0,0,19,0,1,1,0,224,0,3.2188758248682,FALSE,8.04,0.89,1069
2245,4,1000,1,0,17,1,2,0,1,280,0,4.40671924726425,FALSE,1.79,0.71,1122
2000,0,2000,0,0,21,0,1,0,1,984,0,3.40119738166216,FALSE,5.79,1.52,1187
750,6,5250,3,0,7,7,2,1,0,534,0,3.09104245335832,FALSE,4.87,0,843
770,7,3500,1,1,16,1,5,1,0,1191,0,3.40119738166216,FALSE,5.29,3.53,1190
585,9,5000,8,1,6,2,4,1,0,670,0,4.18965474202643,FALSE,4.03,0.15,666
775,3,5000,0,0,16,0,1,0,1,648,0,4.29045944114839,FALSE,2.16,0.15,1223
2220,9,10000,10,1,0,0,1,1,0,224,0,4.0943445622221,FALSE,7.59,0.45,312
8110,6,8000,0,1,53,4,1,0,1,543,0,3.97029191355212,FALSE,3.5,0.55,1086
520,1,1000,0,0,3,0,1,0,0,211,0,4.31748811353631,FALSE,2.84,0.95,1078
1000,0,1000,0,0,16,0,4,0,1,445,0,2.30258509299405,TRUE,2.25,0.9,640
700,1,3000,0,0,2,0,1,0,1,331,0,4.0943445622221,FALSE,3.32,1.81,912
3753,3,1500,0,0,18,0,1,0,1,697,0,4.0943445622221,TRUE,3.01,2.44,1336
6363,9,5000,24,1,38,7,1,1,0,1494,0,3.63758615972639,TRUE,4.95,0.07,1219
2225,6,5000,5,0,14,1,1,1,0,701,0,4.60517018598809,TRUE,3.28,1.14,1125
3800,4,5000,1,0,29,0,2,0,1,599,0,3.17805383034795,FALSE,6.18,0.5,1167
840,6,3500,4,0,10,0,1,1,0,1194,0,3.49650756146648,FALSE,4.94,0.25,1141
940,2,15000,1,0,4,0,1,0,1,254,0,4.26267987704132,FALSE,4.33,0.79,1198
597,6,3000,0,1,7,0,1,1,0,188,0,4.0943445622221,FALSE,4.79,1.06,781
895,1,1000,0,0,2,0,1,0,1,324,0,4.0943445622221,FALSE,6.48,1.85,1340
5382,9,6000,9,1,7,0,1,1,0,276,0,3.40119738166216,TRUE,3.62,0,1168
1056,8,1000,5,1,7,0,2,1,0,511,0,3.04452243772342,FALSE,4.5,0.78,996
550,6,1000,4,1,8,0,1,1,0,431,0,3.29583686600433,FALSE,5.1,0,1040
3771,9,18600,5,1,18,0,1,0,1,495,0,2.19722457733622,FALSE,6.46,0.81,1199
1710,6,2000,0,1,8,0,1,0,0,513,0,3.80666248977032,FALSE,5.26,0.39,1334
1805,9,3000,7,1,12,20,1,1,0,250,0,3.78418963391826,FALSE,5.6,0.4,291
1710,7,1700,1,1,17,1,1,1,0,293,0.34,3.04452243772342,FALSE,4.1,1.02,964
630,8,3000,3,1,6,1,1,1,0,753,0,3.29583686600433,FALSE,5.58,0,1356
2136,9,3200,17,1,18,4,2,1,0,866,0,3.68887945411394,FALSE,4.39,0.35,1057
2400,6,2800,5,0,24,5,1,1,0,759,0,3.3322045101752,FALSE,3.56,0.79,1205
1050,9,5000,3,1,4,1,1,0,1,470,0,3.58351893845611,FALSE,4.04,1.7,1242
7530,3,1000,3,0,30,0,1,0,1,280,0,3.85014760171006,FALSE,5,1.79,1110
4511,4,4500,1,0,13,0,5,1,0,833,0,2.39789527279837,FALSE,5.28,0.72,1198
3462,3,5000,0,0,15,0,2,1,0,1499,0,3.43398720448515,FALSE,3.14,0.67,1088
4156,6,10000,58,0,11,0,3,0,1,1003,0,3.66356164612965,FALSE,2.69,1.6,1267
2285,6,2000,0,1,20,1,1,1,0,634,0,4.02535169073515,FALSE,4.1,0.47,673
1000,3,1000,0,1,18,0,1,0,1,589,0,4.11087386417331,FALSE,3.57,0.68,1086
16200,4,15000,1,0,8,2,4,0,1,410,0,3.80666248977032,FALSE,3.41,0.73,838
2020,9,2000,17,1,15,13,8,1,0,483,0,3.87120101090789,FALSE,4.55,0.41,985
955,8,4000,2,1,3,4,7,1,0,708,0,3.46573590279973,FALSE,5.08,1.13,640
20000,6,10000,28,0,13,29,2,1,0,1291,0,4.0943445622221,FALSE,3.72,0.77,577
585,9,1000,8,1,3,0,1,1,0,396,0,3.43398720448515,FALSE,7.32,0.25,1355
3615,7,10000,1,1,20,0,1,1,0,684,0,4.31748811353631,FALSE,6.43,1.32,1234
1553,6,4000,0,1,14,2,2,1,0,383,0,3.66356164612965,FALSE,3.39,1.31,888
19864,9,18000,10,1,213,6,4,1,0,1048,0,3.73766961828337,FALSE,5.06,0.38,1130
1325,7,4000,5,1,1,0,1,0,1,1397,0.07,3.93182563272433,FALSE,2.65,0.79,1280
2150,4,3000,1,0,5,3,1,1,0,1369,0,3.40119738166216,FALSE,3.29,1.46,1364
2485,9,8000,3,1,7,3,1,1,0,765,0,3.40119738166216,FALSE,4.58,1.18,1106
2220,9,3000,13,1,12,0,1,1,0,1844,0,3.13549421592915,FALSE,3.2,1.03,1060
775,6,2000,8,0,14,4,1,1,0,546,0,3.40119738166216,FALSE,4.4,0.73,1146
1280,4,1200,1,0,26,3,4,1,0,923,0,4.02535169073515,FALSE,4.98,0.54,929
4247,9,3500,12,1,32,8,1,1,0,478,0,3.3322045101752,FALSE,4.6,0.63,1049
27401,9,20000,12,1,5,11,4,0,1,1234,0,3.80666248977032,FALSE,4.05,0.41,1265
3000,9,3000,3,1,29,4,2,0,0,526,0,3.29583686600433,FALSE,4.18,1.14,879
1300,0,10000,0,0,7,0,1,0,1,373,0,4.76217393479776,FALSE,4.83,1.07,1148
1000,5,1000,2,0,0,0,1,1,0,660,0,3.80666248977032,FALSE,5.91,0.61,1334
670,9,2000,4,1,9,2,1,1,0,191,0,3.91202300542815,FALSE,5.24,1.05,732
5205,1,10000,1,0,13,0,1,0,0,764,0,4.78749174278205,FALSE,3.66,0.13,1208
714,2,1000,0,0,8,0,2,0,1,371,0,2.56494935746154,FALSE,5.66,0.27,1075
1480,2,2500,0,0,22,0,1,1,0,340,0,3.58351893845611,FALSE,5,0.59,766
1100,4,1000,0,1,3,0,3,0,1,181,0,3.52636052461616,FALSE,3.31,0,1244
5035,6,5000,7,0,2,41,2,1,0,541,0,3.80666248977032,FALSE,3.88,1.11,1327
