collected_funds,campaign_quality,goal,images,video,comments_count,updates_count,creators,business_venture,social,pitch_size,filler_words,duration,reach30in2,posemo,negemo,time
575,9,6000,4,1,3,0,2,1,0,570,0,4.35670882668959,FALSE,4.21,0.88,1291
2358,7,5500,1,1,0,4,1,1,0,387,0,4.66343909411207,FALSE,3.1,1.55,473
8250,8,8000,2,1,33,3,3,0,1,1016,0,3.80666248977032,FALSE,5.61,0,1194
1100,0,2000,0,0,8,0,1,0,1,278,0,4.58496747867057,FALSE,4.68,1.08,1184
2678,2,2621,0,0,17,5,2,0,1,235,0,4.78749174278205,TRUE,2.98,1.28,944
790,3,1000,0,0,3,0,3,1,0,342,0,3.93182563272433,FALSE,5.26,0.29,1025
740,8,6000,2,1,15,0,3,1,0,741,0,4.39444915467244,FALSE,3.1,1.48,809
1050,6,4000,0,1,7,0,1,0,0,207,0,3.80666248977032,FALSE,3.86,0.97,1012
1050,9,15000,9,1,7,12,1,1,0,266,0,4.00733318523247,FALSE,4.51,0.38,922
550,7,1350,5,1,2,1,1,0,1,338,0,3.2188758248682,FALSE,1.48,0,728
1040,6,3000,0,1,1,0,1,1,0,369,0,3.3322045101752,FALSE,4.07,1.9,1294
890,3,4000,0,1,6,0,1,1,0,380,0,4.0943445622221,FALSE,4.47,1.58,648
4390,9,3000,8,1,16,0,2,1,0,843,0,0.693147180559945,TRUE,4.74,0.71,566
1323,3,1000,0,1,10,0,2,1,0,381,0,3.63758615972639,FALSE,5.51,1.05,1197
1235,4,6000,1,0,17,3,3,1,0,1085,0,3.40119738166216,FALSE,3.41,0.55,1066
1550,2,3050,0,0,17,0,1,0,1,254,0,2.30258509299405,FALSE,3.54,0,976
3500,9,3447,25,1,11,7,1,1,0,600,0,3.85014760171006,FALSE,3.5,0.17,1320
1245,9,3200,4,1,2,0,2,1,0,593,0,4.0943445622221,FALSE,2.7,1.85,1348
575,6,2500,4,1,3,4,3,0,1,568,0,4.07753744390572,FALSE,4.75,0.53,636
1305,6,3200,4,0,26,3,12,1,0,1086,0,3.66356164612965,FALSE,2.3,0.64,1153
3538,6,3000,0,1,1,2,1,0,0,586,0,2.77258872223978,FALSE,5.12,0,505
3398,6,10750,6,0,17,11,1,1,0,779,0,3.91202300542815,FALSE,5.52,0.26,1260
635,7,2000,1,1,15,5,2,0,0,535,0,4.12713438504509,TRUE,4.3,0.93,971
3310,9,4000,5,1,11,5,4,0,0,1013,0,3.80666248977032,FALSE,2.86,1.09,1267
5494,7,5000,1,1,20,1,1,1,0,634,0,3.52636052461616,FALSE,7.1,1.1,1321
1350,3,2500,0,0,14,0,1,0,1,436,0,4.36944785246702,FALSE,3.21,0.23,969
4057,9,17000,17,1,0,12,2,1,0,476,0,3.80666248977032,FALSE,4.2,2.73,1338
6825,0,12000,0,0,7,6,1,0,1,252,0,3.80666248977032,TRUE,6.75,2.38,1326
1270,9,20000,18,1,4,3,2,1,0,1124,0.09,3.40119738166216,FALSE,3.02,0.44,1195
3036,2,3000,2,0,27,8,1,0,1,720,0,3.68887945411394,FALSE,3.33,0.56,739
2465,3,12000,0,0,11,0,1,1,0,557,0,3.80666248977032,FALSE,5.57,0.9,1310
2675,7,10000,1,1,15,4,1,0,0,592,0,3.61091791264422,FALSE,6.25,0.68,1180
815,3,5000,0,0,1,1,1,0,0,1794,0.06,3.80666248977032,FALSE,3.4,0.95,1285
1075,9,1000,5,1,19,0,1,1,0,449,0,3.2188758248682,FALSE,4.23,0.45,1166
3222,2,2500,0,0,9,4,4,0,1,609,0,3.29583686600433,FALSE,2.79,2.3,1198
10420,9,10000,56,1,18,41,8,1,0,900,0,3.3322045101752,FALSE,3.22,0.22,1319
3340,4,3000,0,1,13,1,1,1,0,167,0,3.87120101090789,FALSE,4.19,0,661
3505,6,3500,0,1,16,0,1,1,0,421,0,2.70805020110221,TRUE,7.6,0,649
1325,6,1300,16,0,3,0,1,0,1,328,0,3.68887945411394,FALSE,2.44,2.44,1307
625,6,1000,11,0,5,1,1,1,0,723,0,3.13549421592915,FALSE,2.49,0.69,1185
4275,6,5400,0,1,16,0,7,1,0,721,0,3.93182563272433,FALSE,4.99,0.55,1042
2500,6,2500,0,1,30,0,2,0,1,276,0,4.43081679884331,FALSE,3.26,1.09,1128
1320,7,2000,1,1,0,0,1,1,0,488,0,3.40119738166216,FALSE,3.07,0.2,1339
2650,3,2500,0,0,22,0,16,1,0,457,0,3.3322045101752,TRUE,3.72,0.88,956
600,5,2000,0,1,1,0,1,1,0,338,0,3.49650756146648,FALSE,6.51,0.59,1320
6480,0,10000,0,0,38,0,1,0,1,136,0,3.40119738166216,TRUE,7.35,3.68,1138
4350,9,5200,12,1,22,10,1,0,0,986,0,3.78418963391826,FALSE,5.27,0.91,1287
751,8,1200,2,1,10,1,2,1,0,566,0,4.24849524204936,FALSE,4.77,1.24,1050
1060,9,1000,3,1,10,6,2,0,1,349,0,3.17805383034795,TRUE,2.01,0.86,1018
6694,6,5000,0,1,3,0,1,1,0,371,0,3.09104245335832,FALSE,2.7,0.54,525
2161,9,5400,8,1,16,8,1,1,0,1595,0,3.68887945411394,FALSE,3.45,0.5,1320
1126,3,2500,0,0,14,0,3,1,0,256,0,2.83321334405622,TRUE,3.12,3.52,969
3295,8,5500,3,1,13,6,1,0,0,116,0,3.73766961828337,FALSE,9.48,0,1348
2250,6,4000,0,1,20,0,1,1,0,476,0,3.95124371858143,TRUE,6.09,0.21,799
2055,8,2000,2,1,25,9,1,1,0,739,0,4.61512051684126,TRUE,1.89,0.27,796
1860,9,1800,12,1,2,2,1,1,0,1759,0,3.61091791264422,FALSE,1.19,1.71,1318
818,9,1999,9,1,21,4,1,0,1,442,0,2.56494935746154,FALSE,4.75,0.23,1157
1050,1,5000,0,0,1,0,1,1,0,29,0,4.06044301054642,FALSE,3.45,0,411
1235,6,4000,0,1,16,9,3,0,0,892,0,3.80666248977032,FALSE,6.39,0.56,1199
7821,9,7600,6,1,43,9,1,0,0,599,0,4.35670882668959,FALSE,5.68,0.5,796
6255,0,5000,0,0,56,0,1,0,1,231,0,3.40119738166216,TRUE,4.76,2.16,1168
10800,6,3000,4,1,94,19,3,0,1,547,0,4.78749174278205,TRUE,5.48,1.1,1097
2240,6,2200,3,0,21,2,1,1,0,523,0,4.00733318523247,FALSE,3.82,1.91,1118
1610,6,8500,0,1,3,0,1,1,0,588,0,3.80666248977032,FALSE,4.59,0.68,1293
1135,6,3000,0,1,12,0,3,0,1,472,0,3.80666248977032,FALSE,5.72,1.91,793
2836,6,10000,10,1,5,0,1,1,0,793,0,5.05624580534831,FALSE,3.53,2.27,1272
760,3,2000,0,0,7,2,1,1,0,254,0,1.79175946922806,FALSE,3.94,0.39,611
5085,1,3600,1,0,29,2,1,0,1,282,0,3.80666248977032,FALSE,4.61,2.13,1105
736,5,1920,2,0,2,2,2,0,1,1040,0,3.76120011569356,FALSE,3.27,0.77,1356
540,6,17000,0,1,5,4,2,0,1,1440,0,5.18178355029209,FALSE,3.06,0.35,1159
875,9,1600,3,1,3,0,2,1,0,607,0,3.46573590279973,FALSE,5.6,0.49,1006
1235,6,5000,7,0,9,5,3,1,0,643,0,4.20469261939097,FALSE,4.04,0.31,1089
1530,9,1500,4,1,3,0,2,1,0,596,0,2.63905732961526,TRUE,3.02,1.01,1299
1596,9,17500,7,1,5,3,3,1,0,796,0,4.55387689160054,FALSE,2.89,3.89,1187
920,5,10000,22,0,14,0,2,0,1,352,0,3.85014760171006,FALSE,6.53,0.57,1320
13580,6,5000,8,0,61,23,3,1,0,411,0,4.11087386417331,FALSE,1.7,0.97,935
680,9,2000,3,1,28,8,5,1,0,627,0,4.18965474202643,FALSE,2.23,1.12,729
2437,1,5000,0,0,3,2,1,0,1,313,0,3.40119738166216,FALSE,1.92,0.32,1321
1080,5,1000,0,1,13,0,1,1,0,197,0,2.99573227355399,FALSE,6.09,0,657
1455,0,2000,0,0,3,0,1,1,0,572,0,1.94591014905531,FALSE,5.24,0.35,702
1326,9,2000,4,1,7,6,1,0,1,308,0,2.70805020110221,FALSE,4.55,1.95,1364
1274,6,3000,0,1,10,0,1,1,0,673,0,3.36729582998647,FALSE,5.94,0.59,798
4361,9,20000,10,1,21,10,2,1,0,1412,0,4.78749174278205,FALSE,3.47,2.12,720
2989,6,10000,0,1,6,0,1,1,0,505,0,3.40119738166216,FALSE,3.37,0,1355
3290,6,3000,4,0,0,6,6,0,1,386,0,3.09104245335832,FALSE,4.66,1.04,1344
610,9,10000,4,1,1,1,1,1,0,607,0,4.20469261939097,FALSE,2.8,1.48,1061
3991,9,14000,5,1,29,2,4,0,1,1661,0,3.40119738166216,FALSE,5,1.14,1155
1623,3,1000,4,0,7,1,2,1,0,171,0,3.61091791264422,FALSE,5.26,2.34,816
591,4,1000,2,0,16,4,1,1,0,401,0,3.17805383034795,FALSE,3.74,0,1111
1500,3,5000,0,1,15,0,1,0,0,338,0,3.68887945411394,FALSE,3.55,0.59,1028
2660,0,1000,0,0,14,0,1,0,1,73,0,2.99573227355399,FALSE,2.74,1.37,1217
1080,3,3350,0,0,7,0,3,1,0,305,0,3.68887945411394,TRUE,3.28,2.95,1164
